year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2025,Q1,2025Q1,حائل,Hail,103.65,0.6,4.1
2025,Q1,2025Q1,الحدود الشمالية,Northern Borders,107.05,5.7,8.7
2025,Q1,2025Q1,جازان,Jazan,101.71,2.4,-2.0
2025,Q1,2025Q1,نجران,Najran,102.06,-0.7,5.6
2025,Q1,2025Q1,الباحة,Al Baha,83.86,0.9,2.1
2025,Q1,2025Q1,الجوف,Al Jouf,96.98,3.7,8.2
2025,Q2,2025Q2,عام (المملكة),Kingdom (General),105.0,0.1,3.2
2025,Q2,2025Q2,الرياض,Riyadh,111.35,-3.1,3.6
2025,Q2,2025Q2,مكة المكرمة,Makkah,102.07,2.0,3.9
2025,Q2,2025Q2,المدينة المنورة,Madinah,96.03,-2.5,-3.2
2025,Q2,2025Q2,القصيم,Al Qaseem,97.48,0.6,1.1
2025,Q2,2025Q2,المنطقة الشرقية,Eastern Province,98.17,7.3,4.2
2025,Q2,2025Q2,عسير,Aseer,89.04,1.7,-3.9
2025,Q2,2025Q2,تبوك,Tabouk,104.4,3.9,4.7
2025,Q2,2025Q2,حائل,Hail,102.65,-1.0,2.9
2025,Q2,2025Q2,الحدود الشمالية,Northern Borders,99.29,-7.2,-1.3
2025,Q2,2025Q2,جازان,Jazan,99.18,-2.5,-2.8
2025,Q2,2025Q2,نجران,Najran,100.61,-1.4,0.4
2025,Q2,2025Q2,الباحة,Al Baha,80.16,-4.4,-1.7
2025,Q2,2025Q2,الجوف,Al Jouf,96.93,-0.1,-0.7
2025,Q3,2025Q3,عام (المملكة),Kingdom (General),103.88,-1.1,1.3
2025,Q3,2025Q3,الرياض,Riyadh,110.91,-0.4,1.0
2025,Q3,2025Q3,مكة المكرمة,Makkah,100.43,-1.6,1.9
2025,Q3,2025Q3,المدينة المنورة,Madinah,91.61,-4.6,-8.0
2025,Q3,2025Q3,القصيم,Al Qaseem,92.66,-4.9,-5.1
2025,Q3,2025Q3,المنطقة الشرقية,Eastern Province,97.62,-0.6,6.1
2025,Q3,2025Q3,عسير,Aseer,86.53,-2.8,-6.3
2025,Q3,2025Q3,تبوك,Tabouk,103.53,-0.8,3.4
2025,Q3,2025Q3,حائل,Hail,93.69,-8.7,-7.3
2025,Q3,2025Q3,الحدود الشمالية,Northern Borders,93.94,-5.4,-7.7
2025,Q3,2025Q3,جازان,Jazan,100.71,1.5,0.5
2025,Q3,2025Q3,نجران,Najran,101.39,0.8,3.7
2025,Q3,2025Q3,الباحة,Al Baha,78.62,-1.9,-1.4
2025,Q3,2025Q3,الجوف,Al Jouf,93.63,-3.4,-4.5
2025,Q4,2025Q4,عام (المملكة),Kingdom (General),103.48,-0.4,-0.7
